collaboration,description,difficulty,hours_per_week,number_weeks_months,free,id_course,n_reviews,new,rating,school,skills,title,url,time_range,duration_total_hours
,"Learn the fundamentals of the blockchain platform. Create your own private blockchain, and secure a digital asset using blockchain identity. Explore the Ethereum platform, and use Solidity and smart contracts to develop your own decentralized app.",2,10,4.0,0,nd1309,182.0,1,89.1209,School of Programming & Development,"Ethereum Blockchain, Blockchain Architecture, Data Auditing",Become a Blockchain Developer,https://www.udacity.com/course/blockchain-developer-nanodegree--nd1309,months,160.0
"Affectiva, Nvidia Deep Learning Institute","Learn cutting-edge computer vision and deep learning techniques—from basic image processing, to building and customizing convolutional neural networks. Apply these concepts to vision tasks such as automatic image captioning and object tracking, and build a robust portfolio of computer vision projects.",0,15,3.0,0,nd891,582.0,1,93.2646,School of Artificial Intelligence,"Convolutional Neural Networks (CNN), Recurrent Neural Networks (RNN), Simultaneous Localization and Mapping (SLAM), Object Tracking, Image Classification, Deep Learning",Become a Computer Vision Expert,https://www.udacity.com/course/computer-vision-nanodegree--nd891,months,180.0
,"In this program, you’ll sharpen your Python skills, apply C++, apply matrices and calculus in code, and touch on computer vision and machine learning. These concepts will be applied to solving self-driving car problems. At the end, you’ll be ready for our Self-Driving Car Engineer Nanodegree program!",2,10,4.0,0,nd113,597.0,0,93.3333,School of Autonomous Systems,"Computer Vision, Machine Learning, Vehicle Motion, Control",Intro to Self-Driving Cars,https://www.udacity.com/course/intro-to-self-driving-cars--nd113,months,160.0
,"Start by learning the fundamentals of cloud development and deployment with AWS. Then, build different apps leveraging microservices, Kubernetes clusters, and serverless application technology. ",2,10,4.0,0,nd9990,502.0,1,88.24700000000001,School of Cloud Computing,"AWS, Microservices, Serverless Architecture, Kubernetes",Become a Cloud Developer,https://www.udacity.com/course/cloud-developer-nanodegree--nd9990,months,160.0
Mercedes-Benz,"Learn to detect obstacles in lidar point clouds through clustering and segmentation, apply thresholds and filters to radar data in order to accurately track objects, and augment your perception by projecting camera images into three dimensions and fusing these projections with other sensor data. Combine this sensor data with Kalman filters to perceive the world around a vehicle and track objects over time.",0,10,4.0,0,nd313,198.0,1,95.0505,School of Autonomous Systems,"Perception, Lidar, Radar, Sensors, Computer Vision",Become a Sensor Fusion Engineer,https://www.udacity.com/course/sensor-fusion-engineer-nanodegree--nd313,months,160.0
Appen,"You’ll learn how to evaluate the business value of an AI product. You’ll start by building familiarity and fluency with common AI concepts. You’ll then learn how to scope and build a data set, train a model, and evaluate its business impact. Finally, you’ll learn how to ensure a product is successful by focusing on scalability, potential biases, and compliance. 

Along the way, you’ll review case studies and examples to help you focus on how to define metrics to measure the business value for a proposed product. ",1,10,2.0,0,nd088,368.0,1,85.8696,School of Artificial Intelligence,"AI Products, Training ML Models, Annotating Datasets, Prototyping a Product",Become an AI Product Manager,https://www.udacity.com/course/ai-product-manager-nanodegree--nd088,months,80.0
"Tableau, Mode","In this program, you’ll learn foundational data skills that apply across functions and industries. You’ll learn to analyze data and build models with Excel, query databases using SQL, and create informative data visualizations with Tableau.",1,10,3.0,0,nd098,1093.0,1,94.9314,School of Business,"Excel & Spreadsheets, SQL, Data Visualization, Data Dashboards",Business Analytics,https://www.udacity.com/course/business-analytics-nanodegree--nd098,months,120.0
,"Learn to design and deploy infrastructure as code, build and monitor CI/CD pipelines for different deployment strategies, and deploy scalable microservices using Kubernetes. At the end of the program, you’ll combine your new skills by completing a capstone project.",2,10,4.0,0,nd9991,465.0,1,91.5699,School of Cloud Computing,"AWS, Configuration Management with Ansible, Continuous Integration / Continuous Deployment, Microservices with Kubernetes, CloudFormation",Become a Cloud Dev Ops Engineer,https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991,months,160.0
"Kaggle, AWS","Learn foundational machine learning algorithms, starting with data cleaning and supervised models. Then, move on to exploring deep and unsupervised learning. At each step, get practical experience by applying your skills to code exercises and projects.
",2,10,3.0,0,nd229,331.0,1,94.8036,School of Artificial Intelligence,"Introduction to Machine Learning, Supervised Learning, Deep Learning, Unsupervised Learning",Intro to Machine Learning with PyTorch,https://www.udacity.com/course/intro-to-machine-learning-nanodegree--nd229,months,120.0
,"You’ll start by building data visualizations and dashboards, considering your audiences to be as effective as possible. Then, you’ll move into drafting presentations using storytelling techniques, visualizations, and animations to provide data-driven recommendations. ",1,10,4.0,0,nd197,136.0,1,93.5294,School of Data Science,"Data Visualization, Tableau, Dashboards, Data Storytelling",Data Visualization,https://www.udacity.com/course/data-visualization-nanodegree--nd197,months,160.0
,"Learn how to process data in real-time by building fluency in modern data engineering tools, such as Apache Spark, Kafka, Spark Streaming, and Kafka Streaming.

You’ll start by understanding the components of data streaming systems. You’ll then build a real-time analytics application. Students will also compile data and run analytics, as well as draw insights from reports generated by the streaming console.",0,10,2.0,0,nd029,130.0,1,83.0769,School of Data Science,"Data Streaming, Spark, Kafka, Kafka Streaming, Spark Streaming",Data Streaming ,https://www.udacity.com/course/data-streaming-nanodegree--nd029,months,80.0
,"Learn back-end development with the Java programming language, one of the most popular programming languages in the world and one a majority of large enterprises rely on for their infrastructure.  ",2,10,4.0,0,nd035,128.0,1,83.9063,School of Programming & Development,"Java, Spring Boot, Rest API, MySQL, MongoDB",Become a Java Web Developer,https://www.udacity.com/course/java-developer-nanodegree--nd035,months,160.0
Mode,"Learn the programming fundamentals required for a career in data science. By the end of the program, you will be able to use R, SQL, Command Line, and Git.",1,10,3.0,0,nd118,51.0,1,94.5098,School of Data Science,"R, SQL, Git",Programming for Data Science with R,https://www.udacity.com/course/programming-for-data-science-nanodegree-with-R--nd118,months,120.0
,"The goal of the Front End Web Developer Nanodegree program is to equip learners with the unique skills they need to build and develop a variety of websites and applications. Graduates of this Nanodegree program will be able to construct responsive websites using CSS, Flexbox and CSS Grid, develop interactive websites and UI (User Interface) applications using JavaScript and HTML, and connect a web application to backend server data using JavaScript. Students will also build competency automating application build and deployment using Webpack and improving offline performance of websites using Service Worker.",2,10,4.0,0,nd0011,784.0,1,93.1122,School of Programming & Development,"JavaScript, HTML, CSS, Webpack, Flexbox, Node, Object-Oriented Programming",Front End Web Developer,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,months,160.0
"Kaggle, AWS","Learn foundational machine learning algorithms, starting with data cleaning and supervised models. Then, move on to exploring deep and unsupervised learning. At each step, get practical experience by applying your skills to code exercises and projects.
",2,10,3.0,0,nd230,243.0,1,93.4979,School of Artificial Intelligence,"TensorFlow, Deep Learning, scikit-learn, Supervised Learning, Unsupervised Learning",Intro to Machine Learning with TensorFlow,https://www.udacity.com/course/intro-to-machine-learning-with-tensorflow-nanodegree--nd230,months,120.0
BMW,"You’ll develop foundational technical knowledge of machine learning and the business applications of artificial intelligence across industries. Through practical case studies, you’ll learn what strategic questions to ask, and how to formulate proposals when evaluating opportunities to embed machine learning processes and artificial intelligence technology into a corporate strategy. Finally, in the capstone project, you will build an AI-backed strategy that can be integrated into your own business.",2,5,4.0,0,nd054,0.0,1,,School of Business,"Artificial Intelligence, Machine Learning, Business Strategy, Data Labeling, Data Modeling",AI for Business Leaders,https://www.udacity.com/course/ai-for-business-leaders--nd054,weeks,20.0
,"The goal of the Full Stack Web Developer Nanodegree program is to equip learners with the unique skills they need to build database-backed APIs and web applications. A graduate of this program will be able to design and build databases for software applications, create and deploy database-backed web APIs, and secure and manage user authentication and access control for an application backend. Students will also learn how to deploy a Flask-based web application to the cloud using Docker and Kubernetes.",2,10,4.0,0,nd0044,492.0,1,90.935,School of Programming & Development,"Python, JavaScript, PostgreSQL, Flask, Docker, Kubernetes",Full Stack Web Developer,https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044,months,160.0
,"Play a critical role in an organization’s cloud computing strategy as an AWS Cloud Architect. Learn to plan, design, and implement secure cloud infrastructure in AWS at scale. Begin by designing and building high availability infrastructure, and then move on to building scalable, secure, and cost-optimized architecture. Finally, explore and execute best practices and strategies around securing access to cloud services and infrastructure. 

",0,10,3.0,0,nd063,111.0,1,94.5946,School of Cloud Computing,"Cloud Infrastructure, Cloud Security, AWS, CloudFormation, High Availability Infrastructure, Serverless Computing",Become an AWS Cloud Architect,https://www.udacity.com/course/aws-cloud-architect-nanodegree--nd063,months,120.0
,"Product Managers are responsible for designing and delivering a profitable product or feature into the market. In this program, you will learn to define product strategy and KPIs based on market analysis, pitch a product vision to get stakeholder buy-in, and design a user-centered prototype that adheres to engineering constraints. Then, you will develop an execution timeline that handles competing priorities, communicate a product roadmap that builds consensus amongst internal stakeholders, and create a comprehensive go-to-market plan based on product KPIs. Finally, you will build tests to enhance product features based on market data.
",1,10,4.0,0,nd036,394.0,1,92.9442,School of Business,"Product Strategy, Product Design, Product Development, Design Sprint, Product Launch",Become a Product Manager,https://www.udacity.com/course/product-manager-nanodegree--nd036,months,160.0
Intel,"Leverage the Intel® Distribution of OpenVINO™ Toolkit to fast-track development of high-performance computer vision and deep learning inference applications, and run pre-trained deep learning models for computer vision on-premise. You will identify key hardware specifications of various hardware types (CPU, VPU, FPGA, and Integrated GPU), and utilize the Intel® DevCloud for the Edge to test model performance on the various hardware types. Finally, you will use software tools to optimize deep learning models to improve performance of Edge AI systems. ",0,10,3.0,0,nd131,224.0,1,93.9286,School of Artificial Intelligence,"Edge AI, Computer Vision, Deep Learning, Edge Computing, AI Modeling, Deep Neural Networks (DNN), Convolutional Neural Networks (CNN), IoT, Intel® Distribution of OpenVINO™ Toolkit, Intel® DevCloud for the Edge",Intel® Edge AI for IoT Developers,https://www.udacity.com/course/intel-edge-ai-for-iot-developers-nanodegree--nd131,months,120.0
,"During the Growth Product Manager Nanodegree program, you will learn to build acquisition funnels, identify core customers, and optimize growth loop models. Then, you will learn how to analyze your results and make improvements to your strategies. Next, you will learn activation theories on how to decrease time-to-value and friction for both B2C and B2B product users, as well as retention theories, for creating audiences and increasing engagement. Finally, you will learn the ins and outs of monetization, from designing pricing plans to determining optimal price points using pricing metrics.",2,10,3.0,0,nd037,0.0,1,,School of Business,"Product Management, Growth Strategy, Customer Acquisition, Activation Strategy, Monetization Strategy, Performance Optimization",Become a Growth Product Manager,https://www.udacity.com/course/growth-product-manager-nanodegree--nd037,months,120.0
,"Learn to build, evaluate, and integrate predictive models that have the power to transform patient outcomes.  Begin by classifying and segmenting 2D and 3D medical images to augment diagnosis and then move on to modeling patient outcomes with electronic health records to optimize clinical trial testing decisions. Finally, build an algorithm that uses data collected from wearable devices to estimate the wearer’s pulse rate in the presence of motion.",0,15,4.0,0,nd320,82.0,1,90.7317,School of Artificial Intelligence,"Artificial Intelligence, 2D Medical Imaging, 3D Medical Imaging, Electronic Health Record Data, Deep Learning, Wearable Device Data, Supervised Learning",AI for Healthcare,https://www.udacity.com/course/ai-for-healthcare-nanodegree--nd320,months,240.0
,"You’ll learn how to create a digital user experience that is ready to be handed off for development. You’ll start by building familiarity and fluency with design research fundamentals to identify the user and the solutions they need. You’ll then synthesize your research, and use design sprints to take an idea from concept to low-fidelity prototype. Finally, you’ll learn how to turn your low-fidelity prototype into a high-fidelity design, and improve its performance based on data.

Along the way, you’ll complete projects that can be incorporated into a UX portfolio at the end of the program in order to showcase your capabilities to future employers.",1,10,3.0,0,nd578,591.0,1,94.2809,School of Business,"User Research, User Experience, Prototyping, Interactive Design, User Interface Design, Usability Testing",Become a UX Designer,https://www.udacity.com/course/ux-designer-nanodegree--nd578,months,120.0
Insight,"Learn to design data models, build data warehouses and data lakes, automate data pipelines, and work with massive datasets. At the end of the program, you’ll combine your new skills by completing a capstone project.",2,10,5.0,0,nd027,822.0,1,91.2409,School of Data Science,"Data Modeling, Data Pipelines, Data Lakes, Spark, Airflow",Become a Data Engineer,https://www.udacity.com/course/data-engineer-nanodegree--nd027,months,200.0
"Bertelsmann, Figure Eight, IBM Watson, Insight, Kaggle, Starbucks","You’ll master the skills necessary to become a successful Data Scientist. You’ll work on projects designed by industry experts, and learn to run data pipelines, design experiments, build recommendation systems, and deploy solutions to the cloud.
",0,10,4.0,0,nd025,688.0,1,93.2558,School of Data Science,"Machine Learning, Deep Learning, Software Engineering",Become a Data Scientist,https://www.udacity.com/course/data-scientist-nanodegree--nd025,months,160.0
"AWS, Facebook Artificial Intelligence","Become an expert in neural networks, and learn to implement them using the deep learning framework PyTorch. Build convolutional networks for image recognition, recurrent networks for sequence generation, generative adversarial networks for image generation, and learn how to deploy models accessible from a website.",2,12,4.0,0,nd101,2840.0,0,93.2676,School of Artificial Intelligence,"Deep Learning, Neural Networks, Jupyter Notebooks, CNNs, GANs",Deep Learning,https://www.udacity.com/course/deep-learning-nanodegree--nd101,months,192.0
,"Learn the basics of programming through HTML, CSS, and Python. Explore possible programming paths with our final project selection. Get confident in your ability to think and problem-solve like a programmer. Be primed and ready for our career-ready programs after mastering these projects.",1,10,4.0,0,nd000,2975.0,0,93.5597,School of Programming & Development,"Introduction to Programming, HTML, CSS, Python",Learn to Code,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,months,160.0
"Kaggle, AWS","Learn advanced machine learning techniques and algorithms and how to package and deploy your models to a production environment. Gain practical experience using Amazon SageMaker to deploy trained models to a web application and evaluate the performance of your models. A/B test models and learn how to update the models as you gather more data, an important skill in industry. ",2,10,3.0,0,nd009t,726.0,0,91.9284,School of Artificial Intelligence,"Machine Learning, Supervised Learning, Unsupervised Learning, Deep Learning",Become a Machine Learning Engineer,https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t,months,120.0
"Google, Hootsuite, HubSpot, MailChimp, Moz, Facebook","Learn to create marketing content, use social media to amplify your message, make content discoverable in search, run Ads campaigns and advertise on Facebook. Additionally, learn how display and video ads work and how to market with email, and measure and optimize with Google Analytics.",1,10,3.0,0,nd018,1675.0,0,93.9104,School of Business,"Digital Marketing, Social Media Marketing, Facebook Marketing, Search Engine Optimization, Search Engine Marketing, Display Ads, Search Ads",Become a Digital Marketer,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,months,120.0
